"Author","Title","Publisher","Date","Pages","Library","Location","Internet (eBooks)","Notes","id"
"Czechowski, Michal B.","Thrilling and Instructive Developments: an Exper. of 15 Years as a R.C. Clergyman and Priest","Boston: author",1862,"286 pp.","B","LC, AU, LLU, LSU","GCArch",,594
"Daneau, Lambert","A Frvitfull Commentarie vpon the Twelue Small Prophets","Cambridge: I. Legate",1594,,"C","AU",,,595
"Darling, James","Cyclopaedia Bibliographica; Subjects, Holy Scriptures","London: J. Darling","1854-1859",,"C","AU","Goo,Arch",,596
"D'Aubigne, J.H. Merle","History of the Great Reformation of the Sixteenth Century in Germany, Switzerland, &c.","NY: R. Carter",1846,"847 pp.","B","WE, AU, LLU, LSU","Goo","4 Vols. in 1",597
"D'Aubigne, J.H. Merle","History of the Reformation in Europe in the Time of Calvin","London: Longman, Roberts & Green",1863,"2 Vols.","B","WE, AU, LLU",,,598
"D'Aubigne, J.H. Merle","History of the Reformation of the Sixteenth Century, Revised, tr. H. White","Edinburgh: Oliver and Boyd",1853,"5 Vols.","B","WE, AU, LLU, LSU","Goo,Arch",,599
"D'Aubigne, J.H. Merle","History of the Reformation of the Sixteenth Century, Revised, tr. H. White","NY: American Tract Society","n.d.","551 pp.","A","WE, AU, LLU, LSU",,"Vol. 3 only",600
"D'Aubigne, J.H. Merle","History of the Reformation of the Sixteenth Century, Revised, tr. H. White","NY: R. Carter & Bros.",1853,"518 pp.","A","WE, AU, LLU, LSU",,"Vol. 5 only",601
"Davidson, Alexander D.","Lectures and Sermons","Edinburght: T. & T. Clark",1872,"607 pp.","A","Oberlin, Princeton","Arch",,602
"Davidson, Alexander D.","Lectures, Expository and Practical, on the Book of Esther","Edinburgh: T. & T. Clark",1859,"322 pp.","C","AU","Goo",,603
"Davis, Frank M.","Notes of Praise: a Collection of Choice Original Hymns and Tunes, by Our Best Composers .. ..","Vicksburg, Miss.: F. Davis",1890,"176 pp.","B","MBI, Vanderb.",,,604
"Davis, Henry E.","An Examination of the 15th and 16th Chapters of Mr. Gibbon's History of the Decline and Fall of the Roman Empire","London: J. Dodsley",1778,"284 pp.","C","UM","Goo",,605
"Davison, John","Discourses on Prophecy, in which are considered its Structure, Use and Inspiration","Oxford: J.H. Parker",1834,"530 pp.","C","AU","Goo","(many ed.)",606
"Dayton, Amos Cooper","Theodosia Ernest; or, The Heroine of Faith","NY: Sheldon Blackman & Co.",1857,"451,491 pp.","A","LC, NYPL, AU","Goo","2 vols.",607
"De Vinne, Theodore L.","The Practice of Typography; a Treatise on Title-pages","NY: The Century Co.",1902,"485 pp.","C","AU","DBI",,608
"DeBow, James D.B.","Statistical View of the U.S. ...","Washington, D.C.: A.O.P. Nicholson",1854,,"B","AU","Goo",,609
"DeBurgh, William","The Messianic Prophecies of Isaiah; The Donnellan Lecture for 1862","Dublin: Hodges, Smith and Co.",1863,"252 pp.","B","WE, Iliff",,"Only 5 U.S. libraries have this",610
"DeFelice, Guillaume","History of the Protestants of France...","London: Longman, Brown, Green, and Longmans",1853,"2 Vols. in 1","B","WE, AU, PUC","Goo",,611
"Delitzsch, Franz J.","Biblical Commentary on the Prophecies of Isaiah, tr. J. Martin","Edinburgh: T. & T. Clark",1872,"2 Vols.","C","AU, LLU","Arch","(many ed.)",612
"Delitzsch, Franz J.","Jewish Artisan Life in the Time of Jesus, tr. B. Pick","NY: Funk & Wagnalls",1883,"91 pp.","C","AU","Goo","(many ed.)",613
"Dennett, Edward","Ezra: or, The Restoration from Babylon","London: W.H. Broom",1886,,"C","MBI",,,614
"Dennis, J.S.","Christian Missions and Social Progress; a Sociological Study of Foreign Missions","NY, Chicago: Fleming H. Revell Co.","1897-1906","3 Vols.","B","LC, AU, LLU","Goo,Arch",,615
"DeNormand, Hugh","True Stories from History","Auburn and Buffalo, N.Y.: J.E. Beardsley",1854,"368 pp.","B","Wheaton, OC","Arch","Also, Chicago, Donohue, Henneberry & Co., 1890",616
"Dens, Pierre","Theologia Moralis et Dogmatica Reverendi et Eruditissimi Domini Petri Dens","Dublinii: R. Coyne",1832,"8 Vols.","C","AU","Goo",,617
"Devens, Richard M.","American Progress: or, The Great Events of the Greatest Century","Chicago: H. Heron",1882,"739 pp.","C","WE, AU, LLU, PUC","Goo",,618
"Dewey, Edward H.","A New Era for Woman; Health Without Drugs","Norwich, Conn.: Henry Bill Publ.",1879,,"A","NYPL, Harv, AU, LLU","Goo",,619
"Dimbleby, Jabez B.","All Past Time and Almanack","London: J.B. Dimbleby",1881,,"C","AU (1894 ed.)",,"(many ed.)",620
"Dixon, Thomas","The Clansman","NY: Doubleday, Page & Co.",1907,"374 pp.","(B)","WE, AU, LLU, LSU","Arch",,621
"Dixon, Thomas","The Leopard's Spots; a Romance of the White Man's Burden","NY: Grosset and Dunlap",1902,"469 pp.","B",,,,622
"Dodge, Mary A., (pseudonym, ""Gail Hamilton"")","Skirmishes and Sketches","Boston: Ticknor & Fields",1865,"447 pp.","A","AU, OSU, NYPL","Goo,MOA","Written under a pseudonym: Gail Hamilton",623
"Dods, Marcus","Handbooks for Bible Classes: The Post-Exilian Prophets, Haggai, Zechariah, Malachi","Edinburgh: T. & T. Clark",1879,"153 pp.","C","WE, AU","Goo",,624
"Dods, Marcus","Parables of our Lord, second series","London: Hodder and Stoughton",1890,"226 pp.","A,(B)","WE, AU, LLU, LSU","Goo",,625
"Dods, Marcus","The Gospel of St. John","London: Hodder and Stoughton",1894,"388 and 427 pp.","B","WE, AU, LSU","Arch","2 Vols.",626
"Dore, Gustave","The Dore Bible Gallery","Chicago: Belford, Clarke and Co.",1889,"100 pp.","B","WE,AU,LLU,LSU,PUC","Goo","(2 copies)",627
"Dore, John R.","Old Bibles; or, An Account of the Various Versions of the English Bible","London: B.M. Pickering",1876,"104 pp.","C","UTS, AU, LLU","Arch",,628
"Dothie, William P.","The History of the Prophet Elisha","London: n.p.",1872,,"C","BL","Goo","No U.S. library has this (see British Libr.)",629
"Douglas, G.C.M.","Handbooks for Bible Classes and Private Students. The Six Intermediate Minor Prophets, ed. Marcus Dods and Alexander Whyte","Edinburg: T. & T. Clark","n.d.","157 pp.","B","WE, UTS, GTU","Arch",,630
"Douglas, Herman","Jerusalem the Golden, and the Way to It Foreshadowed by the Holy Tabernacle","London: Richard Bentley",1862,"251 p.","C","Cambr.","Goo","No U.S. library has this (see National Libr. Of Scotland, Natl. Libr. of Israel)",631
"Douglass, H. Paul","Christian Reconstruction in the South","Boston: The Pilgrim Press",1909,,"S","AU","Goo",,632
"Dowling, John","The History of Romanism, From the Earliest Corruptions of Christianity","NY: Edward Walker",1871,"940 pp.","B","WE, AU, LLU, LSU","Goo",,633
"Drake, William","Notes Critical and Explanatory on the Prophecies of Jonah and Hosea","Cambridge: Macmillan",1853,"180 pp.","C","AU","Goo",,634
"Driver, Samuel R.","An Introduction to the Literature of the Old Testament","NY: C. Scribner's Sons",1892,"543 pp.","C","WEa, AU, LLU, LSU","Goo","(many ed.)",635
"Driver, Samuel R.","Isaiah: His Life and Times and the Writings which bear his Name","London: James Nisbet & Co.","n.d.","213 pp.","C","WEa, AU, LLU, LSU","Arch","(many ed.)",636
"Drummond, Henry","Addresses by Henry Drummond","NY: Fleming H. Revell Co.",1891,"138 pp.","A","WEa, AU, LLU, LSU","Goo,DBI","(numerous other editions)",637
"Drummond, Henry","Discourses on the True Definition of the Church, One, Holy, Catholic and Apostolic and kindred subjects","London: Bosworth",1858,"202 pp.","C","AU","Goo",,638
"DuBois, W.E.B.","The Souls of the Black Folk","Chicago: A.C. McClurh & Co.",1903,"264 pp.","S","AU","Goo,DBI",,639
"Duff, Archibald","Old Testament Theology; or, The History of Hebrew Religion from the year 800 B.C.","London: Adam & C. Black",1891,"2 vols.","C","AU, PUC","Arch",,640
"Duffield, George","Dissertations on the Prophecies Relative to the Second Coming of Jesus Christ","NY: Dayton & Newman",1842,"434 pp.","C","AU, LLU, LSU","Goo",,641
"Dupin, Louis E.","A Compendious History of the Church, from the Beginning of the World to this Present Time","London: B. Lintott",1713,"4 vols.","C","AU",,,642
"Dwight, Henry O.","The Blue Book of Missions for 1905","NY, London: Funk & Wagnalls Co.",1905,,"C","AU","Arch",,643
"Dwight, Timothy","Theology Explained and Defended in a Series of Sermons","Glasgow: Blackie & Son",1837,"914 pp.","B","WE, AU, LLU, LSU","Goo",,644
"Eadie, John","The English Bible: an External and Critical History of the Various English Translations of Scripture...","London: Macmillan & Co.",1876,"2 vols.","C","AU, PUC","Arch",,645
"Eastwood, Jonathan, and Wright, W. Aldis","The Bible Word-book: a Glossary of Old English Bible Words","London: Macmillan & Co.",1866,"564 pp.","C","AU","Goo",,646
"Eaton, John","Grant, Lincoln, and the Freedmen","NY: Longmans, Green, & Co.",1907,"320 pp.","S","Col.U.",,"AU has 1969 reprint",647
"Edersheim, Alfred","Elisha the Prophet; the Lessons of His History and Times, new ed., rev.","London: The Religious Tract Society",1882,"326 pp.","A,B,C,H","WE","Fuller, Iliff",,648
"Edersheim, Alfred","Prophecy and History in Relation to the Messiah","London: Longmans, Green, & Co.",1901,"391 pp.","B","WE, AU, LLU, LSU","Arch",,649
"Edersheim, Alfred","The Bible History, Old Testament",,"1st printed, 1876- 1887","4 Vols.","B","Wea, AU, LSU","DBI",,650
"Edersheim, Alfred","The History of Israel and Judah from the Reign of Ahab to the Decline of the Two Kingdoms, Vol. 6 of Bible History","London: Religious Tract Society",1885,,"C","AU","Arch,DBI",,651
"Edersheim, Alfred","The Life and Times of Jesus the Messiah","NY, London: Anson D.F. Randolph & Co.",1886,"2 Vols.","B","WE, AU, LLU, LSU","Goo,CCEL",,652
"Edersheim, Alfred","The Temple, Its Ministry and Services as they were at the Time of Jesus Christ","London: Religious Tract Society",1874,"368 pp.","B","WE, AU, LLU, LSU","Goo,CCEL",,653
"Edgeworth, Maria","The Parent's Assistant","NY: Hurd & Houghton",1869,"470 pp.","A","WEa, AU","Gute",,654
"Edkins, Joseph","The Evolution of the Hebrew Language","London: Trubner & Co.",1889,"150 pp.","C","AU","Goo",,655
"Edwards, Jonathan","Memoirs of Rev. David Brainerd - see Sherwood, J. M.",,,,,,,,656
"Edwards, Justin","Temperance Manual","NY: American Tract Society",1847,"90 pp.","A","AU, LLU","Hathi",,657
"Edwards, Justin","The Sabbath Manual","NY: American Tract Society","n.d.","318 pp.","B","WE, AU, LLU, BYU","Arch",,658
"Edwards, Tryon (ed.)","Christian Counsellor; or Jewels for the Household","Boston: Wentworth",1856,"448 pp.","A","LC, PUC, Brown",,,659
"Eggleston, Edward","Christ in Art","NY: J.B. Ford & Co.",1875,"295 pp.","A,(B)","WE, AU, LLU","Arch",,660
"Elizabeth, Charlotte","see Tonna, Charlotte Elizabeth",,,,,,,,661
"Eller, John","God's Laws of Healing for Spirit, Soul and Body","Oakland, Cal.: n.p.",1897,"246 pp.","A,B","WE","Goo",,662
"Ellicott, Charles J.","A Commentary, Critical and Grammatical, on St. Paul's Epistle to the Galatians","Andover: W.F. Draper et al",1860,"188 pp.","C","AU, LLU, LSU","Arch","(many ed.)",663
"Ellicott, Charles J.","Addresses on the Revised Version of Holy Scripture","London: Soc. for Promoting Christian Knowledge",1901,"138 pp.","C","Fuller, UTS",,,664
"Ellicott, Charles J.","An Old Testament Commentary for English Readers, by Various Writers","London: Cassell & Co.","1882-84","5 vols.","C","AU","Goo","(3rd vol. only)",665
"Ellicott, Charles J.","Christus Comprobator, or, The Testimony of Christ to the Old Testament","NY: E. & J.B. Young",1893,"213 pp.","C","AU","Arch",,666
"Ellicott, Charles J.","Considerations on the Revision of the English Version of the New Testament","London: Longmans, Green, Reader, & Dyer",1870,"222 pp.","C","AU","Goo",,667
"Ellicott, Charles J., et al","Modern Scepticism. A Course of Lectures Delivered at the Request of the Christian Evidence Society","London: Hodder and Stoughton",1871,"544 pp.","B","AU, Harv.","Arch,MOA",,668
"Elliott, Charles","A Treatise on the Inspiration of the Holy Scriptures","Edinburgh: T. & T. Clark",1877,"279 pp.","C","AU",,,669
"Elliott, Charles W.","Remarkable Characters and Places of the Holy Land","Hartford, Conn.: J.B. Burr & Co.",1867,"640 pp.","B","WE, AU, LLU","Goo",,670
"Ellis, John","The Knowledge of Divine Things From Revelation, 2nd ed.","London: Thomas Tegg",1837,"444 pp.","C","LC, U.Chicago","Goo (v.2), Arch",,671
"Ellis, Sarah S.","Somerville Hall; or, Hints to Those Who Would Make Home Happy","NY: D. Appleton & Co.",1842,"174 pp.","A","AU, U.Va","Goo",,672
"Elzas, Barnett Abraham","The Minor Prophets, tr. from the Hebrew Text","London: Trubner & Co.","1873-74","2 vols.","C","Drew, NYPL, U.Ill.",,"(1st vol. only, on inventory)",673
"Evans, Robert W.","Scripture Biography","London: J.G. & F. Rivington",1834,"358 pp.","B","WE",,,674
"Everest, Charles W.","The Moss-rose: for a friend","Hartford, Conn.: Brown and Parsons",1843,"192 pp.","A","U.Va, U.Ill, Harv.","Arch","First published in 1840: The Moss-rose, a Parting Token, ed. by Charles Everest",675
"Ewald, Heinrich","The History of Israel, tr. R. Martineau","London: Longmans, Green, & Co.","1869-86","8 vols.","C","AU, LSU","Goo","(5 vols. on inventory)",676
"Ewald, Heinrich","The Prophet Isaiah, ch. I-XXXIII, tr. O. Glover","Cambridge: Deighton, Bell, and Co.",1869,"176 pp.","C","Harv.","Goo",,677
"Ewald, Heinrich, (George Heinrich August von)","Commentary on the Prophets of the Old Testament, tr. J. Frederick Smith","London: Williams and Norate","1875-81","5 vols.","C","AU (only 2 v.), PUC","Goo",,678
"Exell, Joseph S.","Practical Readings in the Book of Jonah","Peterborough, Eng.: W.H. Pentney",1874,"231 pp.","C",,,"AU has 1982 reprint under title: Practical Truths from Jonah",679
"Faber, George S.","A Dissertation on the Prophecies that have been Fulfilled, are now Fulfilling, or will hereafter be Fulfilled...","London: F.C. & J. Rivington",1814,"2 vols.","C","AU, LLU","Goo","(many ed.)",680
"Faber, George S.","A General and Connected View of the Prophecies; Relative to the Conversion, Restoration, Union, & Future Glory of the Houses of Judah & Israel","London: F.C. & J. Rivington",1808,"2 vols.","C","AU, LLU, LSU","Goo","(2 sets)",681
"Faber, George S.","Eight Dissertations on Certain Connected Prophetical Passages of Holy Scripture...","London: Seeley, Burnside, and Seeley",1845,"2 vols.","C","AU","Hathi",,682
"Faber, George S.","Remarks on the Effusion of the Fifth Apocalyptic Vial","London: F.C. & J. Rivington",1815,"76 pp.","C","Cambr., Oxford, B.L.",,,683
"Faber, George S.","The Sacred Calendar of Prophecy","London: C. & J. Rivington",1828,"3 vols.","C","AU, LSU","Goo",,684
"Fairbairn, Patrick","Ezekiel, and the Book of His Prophecy","Edinburgh: T. & T. Clark",1876,"504 pp.","C","AU, PUC","Arch","(many ed.)",685
"Fairbairn, Patrick","Jonah: his Life, Character, and Mission...","Edinburgh: J. Johnstone",1849,"237 pp.","C","AU, LSU","Goo",,686
"Fairbairn, Patrick","Prophecy Viewed in Respect to its Distinctive Nature, its Special Function, and Proper Interpretation","Edinburgh: T. & T. Clark",1856,"530 pp.","C","Wea, AU, LSU, PUC","Goo",,687
"Fairbairn, Patrick","The Typology of Scripture: Viewed in Connection with the Whole Series of the Divine Dispensations","NY, London: Funk & Wagnalls Co.",1900,,"C","Wea, AU, LLU, PUC","Goo","(many editions)",688
"Fallows, Samuel","A Complete Dictionary of Synonyms and Antonyms","Chicago, NY: F. H. Revell Co.",1898,"512 pp.","C","AU","Arch","(sev. ed.)",689
"Farrar, Frederic W.","Life of Christ","NY: H.M. Caldwell Co.","n.d.","752 pp.","A","WE, AU, LLU, LSU","Goo,MOA",,690
"Farrar, Frederic W.","Talks on Temperance","NY: National Temperance Society",1878,"158 pp.","A","LC, AU, LLU","Goo",,691
"Farrar, Frederic W.","The Life and Work of St. Paul","London: Cassell, Petter, Galpin and Co.","n.d.","678 and 668 pp.","B","WE, AU, LLU, LSU","Goo","2 Vols.",692
"Farrar, Frederic W.","Truths to Live By, a Companion to ""Everyday Christian Life""","NY: T. Whittaker",1891,"372 pp.","C","Fuller, MBI, U.Va.",,,693
"Felice, G. de","see DeFelice, G.",,,,,,,,694
"Fenton, Ferrar (transl.)","St. Paul's Epistles in Modern English","London:",1884,"84 pp.","C","AU, LLU",,"(sev. ed.)",695
"Ferguson, Smith C., and E.A. Allen","Golden Gems of Life; or, Gathered Jewels for the Home Circle","Cincinnati: Central Publ. House",1880,"608 pp.","A","AU, BYU","Arch",,696
"Fifield, G. E.","God is Love","Chicago: T. Reese",1897,"222 pp.","(B)","WE, LLU, LSU",,,697
"Findlay, George G.","The Books of the Prophets in their Historical Succession","London: C.H. Kelly","1896-1907","3 Vols.","C","AU, PUC","Arch",,698
"Finlayson, Thomas C.","Nehemiah: his Character and Work. A Practical Exposition","London: Religious Tract Society",1880,"160 pp.","C","LLU, U.Chicago","Arch",,699
"Fisher, James","The Westminster Assembly's Shorter Catechism Explained. By Sev. Ministers of the Gospel","Phila.: Tower, J. & D. M. Hogan",1831,"208 pp.","A","WEa, AU, LLU",,"Spine title: Fisher's Catechism",700
"Flavel, John","The Method of Grace","NY: American Tract Society",1820,"560 pp.","(B)","WE, AU, LLU, LSU","Arch,DBI",,701
"Flavel, John","Touchstone of Sincerity","NY: American Tract Society","183?","96 pp.","A","LC, AU, LSU","Goo",,702
"Fleetwood, John","The Life of Jesus Christ","N.p.: n.p.","n.d.","516 pp.","B","WE",,,703
"Fleetwood, John","The Life of Our Blessed Lord and Saviour Jesus Christ","Auburn & Buffalo, NY: Miller, Orton & Mulligan",1854,"461 pp.","C","WEa, AU, LLU, LSU","Goo",,704
"Fleetwood, John","The Life of Our Lord and Saviour Jesus Christ","Boston: Wentworth, Hewes & Co.",1859,"680 pp.","A","WEa, AU, LLU, LSU","Goo",,705
"Fleming, Robert","Prophetical Extracts: from Various Ministers . . .","London: G. Terry",1793,,"C","Univ. Coll. (London)",,"Apparently only one library has this",706
"Fleming, Robert","The Rise and Fall of Papacy","London: J. Johnstone",1848,"143 pp.","C","AU, LLU, LSU","Arch",,707
"Fletcher, John","Checks to Antinomianism. The Works of the Rev. John Fletcher, 2 Vols.","NY: Hunt and Eaton",1891,"595 and 669 pp.","B","WE, AU, LLU, LSU","Arch",,708
"Fleury, M. L'Abbe (Claude)","The Ecclesiastical History ... from the Second Ecumenical Council to the End of the Fourth Century","Oxford: n.p.",1842,"3 Vols.","C","AU, PUC","Goo",,709
"Forrest, Robert W.","Gleanings from the Pastures of Tekoa","London: Sampson, Low, Marston, Searle & Rivington",1876,"Vols. II-VI, VIII","C","Asbury, Cambr.",,,710
"Foskett, Paul","Prophetic Atlas",,,,"C",,,"None of the bibliogr. databases list this book",711
